year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2035,2417760.0,1160524800.0,0.0,112596000.0,0.0,96710400.0,0.0,0.0,36266400.0,0.0,0.0,84621600.0,1.8,480.0,0,0.0,480.0,291,0.92
2036,2285280.0,1099214712.1871274,0.0,112596000.0,0.0,91411200.0,0.0,0.0,34279200.0,0.0,0.0,79984800.0,1.8,480.9978261688403,0,0.0,484.0,291,0.8695890410958904
2037,2285280.0,1108210159.6507354,0.0,112596000.0,0.0,91411200.0,0.0,0.0,34279200.0,0.0,0.0,79984800.0,1.8,484.9340823228381,0,0.0,488.0,290,0.8695890410958904
2038,2496600.0,1228327200.0000002,0.0,112596000.0,0.0,99864000.0,0.0,0.0,37449000.0,0.0,0.0,87381000.0,1.0,492.0000000000001,0,0.0,492.0,290,0.9500000000000002
2039,2359800.0,1162920483.6707587,0.0,112596000.0,0.0,94392000.0,0.0,0.0,35397000.0,0.0,0.0,82593000.0,1.0,492.80467991811116,0,0.0,496.0,290,0.8979452054794522
2040,2359800.0,1172204742.60388,0.0,112596000.0,0.0,94392000.0,0.0,0.0,35397000.0,0.0,0.0,82593000.0,1.0,496.73902135938636,0,0.0,500.0,289,0.8979452054794522
2041,2496600.0,1253293200.0,0.0,112596000.0,0.0,99864000.0,0.0,0.0,37449000.0,0.0,0.0,87381000.0,1.0,502.0,0,0.0,502.0,288,0.9500000000000002
2042,2359800.0,1181392610.3032362,0.0,112596000.0,0.0,94392000.0,0.0,0.0,35397000.0,0.0,0.0,82593000.0,1.0,500.63251559591333,0,0.0,504.0,288,0.8979452054794522
2043,2359800.0,1185985414.5681434,0.0,112596000.0,0.0,94392000.0,0.0,0.0,35397000.0,0.0,0.0,82593000.0,1.0,502.578784035996,0,0.0,506.0,288,0.8979452054794522
2044,2325600.0,1173305693.3203402,0.0,112596000.0,0.0,93024000.0,0.0,0.0,34884000.0,0.0,0.0,81396000.0,1.0,504.51741198845036,0,0.0,508.0,287,0.8849315068493153
